col_country,value
ARG,9.413166708451538e-05
AUS,4.00036653894071e-05
AUT,9.454536881293157e-06
BEL,2.014547749659876e-05
BGR,3.487249748219005e-05
BRA,6.943054867193797e-05
BRN,1.6654073798355644e-05
CAN,2.4639554652707343e-06
CHE,7.250421625240427e-06
CHL,0.00029866090618924464
CHN,2.3563738058056106e-05
COL,3.0232799932940315e-07
CRI,0.000553786685647266
CYP,0.00023284037723716607
CZE,3.0899078082377996e-06
DEU,7.784267071117964e-06
DNK,1.4442664165341038e-05
ESP,4.1740746170683635e-05
EST,8.366153610798567e-05
FIN,7.407359107584794e-05
FRA,2.2686874702330067e-05
GBR,0.00018786510963359846
GRC,1.5054722087483422e-06
HRV,0.00019024005899136165
HUN,0.0002889306394052496
IDN,2.0540098395888866e-05
IND,5.09027023954882e-06
IRL,3.108830463114056e-06
ISL,9.010606738012383e-06
ISR,0.00018673778340932978
ITA,1.8250014895345787e-05
JPN,7.342377857526958e-05
KAZ,1.2348870529315133e-06
KHM,2.4634896101441532e-05
KOR,1.9414224857778973e-05
LAO,4.2043809329098555e-05
LTU,3.4090857363971505e-06
LVA,0.00016586399007873567
MAR,0.00013429475651177117
MEX,0.00013839138191106456
MLT,3.7075804880814154e-06
MMR,2.3665341818107176e-05
NLD,4.8665161826567135e-06
NOR,6.875517591600489e-06
NZL,5.8937129456045345e-05
PER,7.042210008735756e-05
PHL,0.00013947289270571113
POL,0.00011315679759962363
PRT,3.0236324436853003e-05
ROU,0.00019782627846432182
ROW,7.751174499170978e-06
RUS,2.6935636997141048e-05
SAU,1.0524822507863638e-05
SGP,2.1628168794345216e-08
SVK,5.126898875765884e-07
SVN,0.0003221693733317317
SWE,0.0005063907832426647
THA,7.632406945865806e-08
TUN,8.80370212902892e-06
TUR,7.338562676124318e-05
TWN,9.131591794127618e-06
USA,3.527651675496971e-05
VNM,1.8981773633134056e-06
ZAF,3.914612491245445e-05
