country,hat
ARG,0.9978314518313592
AUS,0.9964264298040661
AUT,1.0025947018851258
BEL,1.0021285761438483
BGR,1.0030983844664316
BRA,0.9931888095655128
BRN,0.9722056275288133
CAN,0.9973654292543706
CHE,1.0032188026770759
CHL,1.0039627954070351
CHN,0.99856990257059
COL,0.9953556532301585
CRI,1.0009038281019096
CYP,0.998505933503524
CZE,1.002148113884582
DEU,1.0022701056328411
DNK,1.001725109569759
ESP,1.0020833151125421
EST,0.9957466026142247
FIN,1.0012409561950535
FRA,1.0004619869342994
GBR,0.9994229894511267
GRC,1.0029234538417566
HRV,0.9994095734939619
HUN,1.0007573745804086
IDN,0.9896508679879368
IND,0.9961825126294296
IRL,1.005805939990461
ISL,1.0008694663938738
ISR,1.0015305871128264
ITA,1.0024687843174525
JPN,1.0007845211891762
KAZ,0.9786445319623553
KHM,0.9694987997519049
KOR,1.0049621190482105
LAO,0.9779318165305493
LTU,1.0021443506797005
LVA,0.9997505636209271
MAR,0.9975723878343461
MEX,0.9964324075281951
MLT,1.003385302592673
MMR,0.975216097599848
NLD,1.0033190249400992
NOR,0.9981847657495112
NZL,1.0003973842663003
PER,0.9963955886685751
PHL,0.9969065994913577
POL,0.9994332442240059
PRT,1.0014038317339748
ROU,0.9994180622323433
ROW,0.9898434162897634
RUS,0.9851366671616977
SAU,0.9791190310695799
SGP,1.0020693697373304
SVK,1.0018359249210218
SVN,1.000743023259945
SWE,1.0011685247791866
THA,1.002467963528832
TUN,0.9972794833100521
TUR,0.9988331811618267
TWN,1.0058721419204837
USA,0.9993131452456188
VNM,0.9954649529862143
ZAF,0.9880269727614078
